ID,Cas NUMBER,SMILES,Experimental value,threshold_1,threshold_100
1,52918-63-5,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.0015,1,1
2,131929-60-7,CCC1CCCC(OC2CCC(C(C)O2)N(C)C)C(C)C(=O)C2=CC3C4CC(CC4C=CC3C2CC(=O)O1)OC1OC(C)C(OC)C(OC)C1OC,0.0029,1,1
3,80844-07-1,CCOc1ccc(cc1)C(C)(C)COCc1cccc(Oc2ccccc2)c1,0.0145,1,1
4,66841-24-5,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.023,1,1
5,52645-53-1,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,0.024,1,1
6,23031-36-9,CC(C)=CC1C(C(=O)OC2CC(=O)C(CC#C)=C2C)C1(C)C,0.028,1,1
7,68359-37-5,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,0.037,1,1
8,91465-08-6,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.038,1,1
9,25311-71-1,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,0.049,1,1
10,10453-86-8,CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,0.063,1,1
11,7786-34-7,COC(=O)C=C(C)OP(=O)(OC)OC,0.07,1,1
12,105827-78-9,[O-][N+](=O)N=C1NCCN1Cc1ccc(Cl)nc1,0.078,1,1
13,66441-23-4,CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,0.1,1,1
14,82-68-8,[O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.1,1,1
15,298-00-0,COP(=S)(OC)Oc1ccc(cc1)[N+]([O-])=O,0.111,1,1
16,2921-88-2,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,0.114,1,1
17,120116-88-3,CN(C)S(=O)(=O)n1c(nc(Cl)c1-c1ccc(C)cc1)C#N,0.118,1,1
18,141112-29-0,CS(=O)(=O)c1cc(ccc1C(=O)c1cnoc1C1CC1)C(F)(F)F,0.12,1,1
19,66841-25-6,CC1(C)C(C(Br)C(Br)(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.129,1,1
20,60-57-1,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,0.139,1,1
21,1563-66-2,CNC(=O)Oc1cccc2CC(C)(C)Oc12,0.16,1,1
22,60-51-5,CNC(=O)CSP(=S)(OC)OC,0.16,1,1
23,16752-77-5,CNC(=O)ON=C(C)SC,0.16,1,1
24,56-38-2,CCOP(=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O,0.175,1,1
25,121-75-5,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,0.18,1,1
26,113136-77-9,OC(=O)C1(CC1)C(=O)Nc1ccc(Cl)cc1Cl,0.18,1,1
27,173584-44-6,COC(=O)N(C(=O)N1COC2(Cc3cc(Cl)ccc3C2=N1)C(=O)OC)c1ccc(OC(F)(F)F)cc1,0.18,1,1
28,333-41-5,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,0.2,1,1
29,950-37-8,COC1=NN(CSP(=S)(OC)OC)C(=O)S1,0.236,1,1
30,2104-64-5,CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)c1ccccc1,0.245,1,1
31,116-06-3,CNC(=O)ON=CC(C)(C)SC,0.285,1,1
32,2032-65-7,CNC(=O)Oc1cc(C)c(SC)c(C)c1,0.3025,1,1
33,254642,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,0.306,1,1
34,55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,0.308,1,1
35,122-14-5,COP(=S)(OC)Oc1ccc(c(C)c1)[N+]([O-])=O,0.383,1,1
36,29232-93-7,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,0.39,1,1
37,86-50-0,COP(=S)(OC)SCN1N=Nc2ccccc2C1=O,0.42,1,1
38,22781-23-3,CNC(=O)Oc1cccc2OC(C)(C)Oc12,0.428,1,1
39,300-76-5,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,0.48,1,1
40,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,0.5,1,1
41,58-89-9,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,0.56,1,1
42,732-11-6,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,0.64,1,1
43,298-04-4,CCOP(=S)(OCC)SCCSCC,0.96,1,1
44,69409-94-5,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,1.1,0,1
45,139968-49-3,FC(F)(F)Oc1ccc(NC(=O)NN=C(Cc2ccc(cc2)C#N)c2cccc(c2)C(F)(F)F)cc1,1,0,1
46,63-25-2,CNC(=O)Oc1cccc2ccccc12,1.3,0,1
47,114-26-1,CNC(=O)Oc1ccccc1OC(C)C,1.35,0,1
48,22248-79-9,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,1.37,0,1
49,10265-92-6,COP(N)(=O)SC,1.37,0,1
50,13171-21-6,CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,1.46,0,1
51,22224-92-6,CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,1.87,0,1
52,72-20-8,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,2.02,0,1
53,8065-48-3,CCOP(=O)(OCC)SCCSCC,2.6,0,1
54,128639-02-1,CCOC(=O)C(Cl)Cc1cc(N2N=C(C)N(C(F)F)C2=O)c(F)cc1Cl,2.66,0,1
55,301-12-2,CCS(=O)CCSP(=O)(OC)OC,3,0,1
56,28434-00-6,CC(C)=CC1C(C(=O)OC2CC(=O)C(CC=C)=C2C)C1(C)C,3.4,0,1
57,125401-92-5,COc1cc(OC)nc(Oc2cccc(Oc3nc(OC)cc(OC)n3)c2C(O)=O)n1,3.94,0,1
58,13194-48-4,CCCSP(=O)(OCC)SCCC,4.09,0,1
59,115-29-7,ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl,4.5,0,1
60,50-29-3,Clc1ccc(cc1)C(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,5.15,0,1
61,134-20-3,COC(=O)c1ccccc1N,7.8,0,1
62,944-22-9,CCOP(=S)(CC)Sc1ccccc1,8.68,0,1
63,74051-80-2,CCCC(=NOCC)C1=C(O)CC(CC(C)SCC)CC1=O,10,0,1
64,298-02-2,CCOP(=S)(OCC)SCSCC,10.07,0,1
65,23135-22-0,CNC(=O)ON=C(SC)C(=O)N(C)C,10.32,0,1
66,142-59-6,SC(=S)NCCNC(S)=S,12.09,0,1
67,10/3/2439,CCCCCCCCCCCCNC(N)=N,12.1,0,1
68,133-07-3,ClC(Cl)(Cl)SN1C(=O)c2ccccc2C1=O,12.1,0,1
69,115-32-2,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,12.2,0,1
70,90982-32-4,CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(Cl)cc(OC)n1,12.5,0,1
71,79277-27-3,COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,12.5,0,1
72,150114-71-9,Nc1cc(Cl)nc(C(O)=O)c1Cl,12.5,0,1
73,22259-30-9,CNC(=O)Oc1cccc(c1)N=CN(C)C,14.27,0,1
74,1689-84-5,Oc1c(Br)cc(cc1Br)C#N,14.5,0,1
75,1861-40-1,CCCCN(CC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,14.5,0,1
76,94-82-6,OC(=O)CCCOc1ccc(Cl)cc1Cl,14.5,0,1
77,2/1/1918,Nc1c(Cl)c(Cl)nc(C(O)=O)c1Cl,14.5,0,1
78,116714-46-6,FC(OC(F)(F)F)C(F)(F)Oc1ccc(NC(=O)NC(=O)c2c(F)cccc2F)cc1Cl,14.5,0,1
79,23103-98-2,CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C,18.72,0,1
80,563-12-2,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,20.55,0,1
81,72-43-5,COc1ccc(cc1)C(c1ccc(OC)cc1)C(Cl)(Cl)Cl,23.57,0,1
82,741-58-2,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,24,0,1
83,1582-09-8,CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,24.2,0,1
84,127-20-8,CC(Cl)(Cl)C(O)=O,24.2,0,1
85,103361-09-7,Fc1cc2OCC(=O)N(CC#C)c2cc1N1C(=O)C2=C(CCCC2)C1=O,28,0,1
86,2008-41-5,CCSC(=O)N(CC(C)C)CC(C)C,29,0,1
87,2312-35-8,CC(C)(C)c1ccc(OC2CCCCC2OS(=O)OCC#C)cc1,31.46,0,1
88,88-85-7,CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,32.3,0,1
89,13121-70-5,O[Sn](C1CCCCC1)(C1CCCCC1)C1CCCCC1,35.9,0,1
90,156052-68-5,CCC(C)(NC(=O)c1cc(Cl)c(C)c(Cl)c1)C(=O)CCl,35.9,0,1
91,1610-18-0,COc1nc(NC(C)C)nc(NC(C)C)n1,36,0,1
92,161050-58-4,COc1cccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C,37.8,0,1
93,95266-40-3,CCOC(=O)C1CC(=O)C(=C(O)C2CC2)C(=O)C1,47,0,1
94,40487-42-1,CCC(CC)Nc1c(cc(C)c(C)c1[N+]([O-])=O)[N+]([O-])=O,49.8,0,1
95,122008-85-9,CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(cc2F)C#N)cc1,51,0,1
96,3547-33-9,CCCCCCCCSCCO,56.9,0,1
97,52-68-6,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,59.8,0,1
98,21087-64-9,CSC1=NN=C(C(=O)N1N)C(C)(C)C,60.4,0,1
99,1/2/2439,Cc1ccc2nc3SC(=O)Sc3nc2c1,66.47,0,1
100,137-42-8,CNC(S)=S,66.5,0,1
101,67485-29-4,CC1(C)CNC(NC1)=NN=C(C=Cc1ccc(cc1)C(F)(F)F)C=Cc1ccc(cc1)C(F)(F)F,67,0,1
102,759-94-4,CCCN(CCC)C(=O)SCC,72.5,0,1
103,137-26-8,CN(C)C(=S)SSC(=S)N(C)C,74,0,1
104,97886-45-8,CSC(=O)c1c(nc(c(C(=O)SC)c1CC(C)C)C(F)(F)F)C(F)F,81,0,1
105,87674-68-8,COCC(C)N(C(=O)CCl)c1c(C)csc1C,94,0,1
106,100784-20-1,COC(=O)c1c(Cl)nn(C)c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,94,0,1
107,7287-19-6,CSc1nc(NC(C)C)nc(NC(C)C)n1,96.69,0,1
108,834-12-8,CCNc1nc(NC(C)C)nc(SC)n1,100,0,0
109,2764-72-9,C1C[n+]2ccccc2-c2cccc[n+]12,100,0,0
110,101200-48-0,COC(=O)c1ccccc1S(=O)(=O)NC(=O)N(C)c1nc(C)nc(OC)n1,100,0,0
111,85-00-7,C1CN2ccccc2c2ccccN12,100,0,0
112,140-56-7,CN(C)c1ccc(cc1)N=NS(O)(=O)=O,102,0,0
113,150-68-5,CN(C)C(=O)Nc1ccc(Cl)cc1,110,0,0
114,132-66-1,OC(=O)c1ccccc1C(=O)Nc1cccc2ccccc12,113.2,0,0
115,76-87-9,O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,114.8,0,0
116,330-54-1,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,145.03,0,0
117,5234-68-4,CC1=C(SCCO1)C(=O)Nc1ccccc1,181,0,0
118,1897-45-6,Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl,181.29,0,0
119,314-40-9,CCC(C)N1C(=O)NC(C)=C(Br)C1=O,193.38,0,0
120,21725-46-2,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,193.38,0,0
121,70630-17-0,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,198,0,0
122,1596-84-5,CN(C)NC(=O)CCC(O)=O,205.46,0,0
123,13684-63-4,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,241.72,0,0
124,51276-47-2,CP(O)(=O)CCC(N)C(O)=O,345.5,0,0
125,135410-20-7,CN(Cc1ccc(Cl)nc1)C(C)=NC#N,346,0,0
126,34256-82-1,CCOCN(C(=O)CCl)c1c(C)cccc1CC,1720,0,0
127,957-51-7,CN(C)C(=O)C(c1ccccc1)c1ccccc1,2431.7,0,0
128,208465-21-8,COC(=O)c1ccc(CNS(C)(=O)=O)cc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,3980,0,0
129,13356-08-6,CC(C)(C[Sn](CC(C)(C)c1ccccc1)(CC(C)(C)c1ccccc1)O[Sn](CC(C)(C)c1ccccc1)(CC(C)(C)c1ccccc1)CC(C)(C)c1ccccc1)c1ccccc1,3980,0,0
130,114311-32-9,COCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(c1)C(O)=O,>1.83E3,0,0
131,57018-04-9,COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl,>100,0,0
132,120923-37-7,COc1cc(OC)nc(NC(=O)NS(=O)(=O)N(C)S(C)(=O)=O)n1,>100,0,0
133,74070-46-5,Nc1c(Cl)c(Oc2ccccc2)ccc1[N+]([O-])=O,>100,0,0
134,64902-72-3,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2Cl)n1,>100,0,0
135,19666-30-9,CC(C)Oc1cc(N2N=C(OC2=O)C(C)(C)C)c(Cl)cc1Cl,>100,0,0
136,90717-03-6,Cc1cnc2c(C(O)=O)c(Cl)ccc2c1,>100,0,0
137,101205-02-1,CCCC(=NOCC)C1=C(O)CC(CC1=O)C1CCCSC1,>100,0,0
138,51338-27-3,COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,>100,0,0
139,143390-89-0,CON=C(C(=O)OC)c1ccccc1COc1ccccc1C,>100,0,0
140,119446-68-3,CC1COC(Cn2cncn2)(O1)c1ccc(Oc2ccc(Cl)cc2)cc1Cl,>100,0,0
141,658066-35-4,FC(F)(F)c1cnc(CCNC(=O)c2ccccc2C(F)(F)F)c(Cl)c1,>100,0,0
142,98243-83-5,COC(=O)C(C)N(C(=O)Cc1ccccc1)c1c(C)cccc1C,>100,0,0
143,422556-08-9,COc1cc(OC)n2nc(NS(=O)(=O)c3c(OC)nccc3C(F)(F)F)nc2n1,>100,0,0
144,203313-25-1,CCOC(=O)OC1=C(C(=O)NC11CCC(CC1)OC)c1cc(C)ccc1C,>100,0,0
145,243973-20-8,CCc1cc(C)cc(CC)c1C1=C(OC(=O)C(C)(C)C)N2CCOCCN2C1=O,>100,0,0
146,143807-66-3,Cc1cc(C)cc(c1)C(=O)N(NC(=O)c1ccc2OCCCc2c1C)C(C)(C)C,>100,0,0
147,135158-54-2,CSC(=O)c1cccc2nnsc12,>100,0,0
148,94125-34-5,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2CCC(F)(F)F)n1,>100,0,0
149,53112-28-0,Cc1cc(C)nc(Nc2ccccc2)n1,>100,0,0
150,95977-29-0,CC(Oc1ccc(Oc2ncc(cc2Cl)C(F)(F)F)cc1)C(O)=O,>100,0,0
151,131341-86-1,FC1(F)Oc2cccc(c2O1)-c1c[nH]cc1C#N,>100,0,0
152,57960-19-7,CCCCCCCCCCCCC1=C(OC(C)=O)C(=O)c2ccccc2C1=O,>100,0,0
153,56425-91-3,CC(C)C(O)(c1ccc(OC(F)(F)F)cc1)c1cncnc1,>100,0,0
154,126535-15-7,COC(=O)c1cccc(C)c1S(=O)(=O)NC(=O)Nc1nc(OCC(F)(F)F)nc(n1)N(C)C,>100,0,0
155,219714-96-2,COc1cnc(OC)n2nc(NS(=O)(=O)c3c(OCC(F)F)cccc3C(F)(F)F)nc12,>100,0,0
156,10004-44-1,CC1=CC(=O)NO1,>100,0,0
157,87130-20-9,CCOc1ccc(NC(=O)OC(C)C)cc1OCC,>100,0,0
158,94361-06-5,CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,>100,0,0
159,42874-03-3,CCOc1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1[N+]([O-])=O,>100,0,0
160,130561-48-7,COCCOc1cccc2N(N=C(C(O)=O)C(=O)c12)c1ccc(Cl)cc1,>100,0,0
161,136426-54-5,Fc1ccc2N=C(N(C(=O)c2c1)c1ccc(Cl)cc1Cl)n1cncn1,>100,0,0
162,125225-28-7,CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,>100,0,0
163,179101-81-6,FC(F)(F)c1cccc(OCCCOc2c(Cl)cc(OCC=C(Cl)Cl)cc2Cl)n1,>100,0,0
164,348635-87-0,CN(C)S(=O)(=O)n1cnc(n1)S(=O)(=O)n1c(C)c(Br)c2ccc(F)cc12,>100,0,0
165,34014-18-1,CNC(=O)N(C)c1nnc(s1)C(C)(C)C,>100,0,0
166,51235-04-2,CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C,>100,0,0
167,122931-48-0,CCS(=O)(=O)c1cccnc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,>100,0,0
168,98-01-1,O=Cc1ccco1,>100,0,0
169,23564-05-8,COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,>100,0,0
170,26644-46-2,ClC(Cl)(Cl)C(NC=O)N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl,>100,0,0
171,33089-61-1,CN(C=Nc1ccc(C)cc1C)C=Nc1ccc(C)cc1C,>100,0,0
172,51707-55-2,O=C(Nc1cnns1)Nc1ccccc1,>100,0,0
173,67564-91-4,CC(CN1CC(C)OC(C)C1)Cc1ccc(cc1)C(C)(C)C,>100,0,0
174,81777-89-1,CC1(C)CON(Cc2ccccc2Cl)C1=O,>100,0,0
175,1928-43-4,CCCCC(CC)Cc1c(Cl)ccc(OOC(C)=O)c1Cl,>100,0,0
176,624-92-0,CSSC,>100,0,0
177,81334-34-1,CC(C)C1(C)N=C(NC1=O)c1ncccc1C(O)=O,>100,0,0
178,75-60-5,C[As](C)(O)=O,>100,0,0
179,12771-68-5,COc1ccc(cc1)C(O)(C1CC1)c1cncnc1,>100,0,0
180,112143-82-5,CCOC(=O)CSc1nc(nn1C(=O)N(C)C)C(C)(C)C,>100,0,0
181,123343-16-8,COc1cc(OC)nc(Sc2cccc(Cl)c2C(O)=O)n1,>100,0,0
182,131807-57-3,CC1(OC(=O)N(Nc2ccccc2)C1=O)c1ccc(Oc2ccccc2)cc1,>100,0,0
183,26952-20-5,CCCCC(CC)COC(=O)c1nc(Cl)c(Cl)c(N)c1Cl,>100,0,0
184,74222-97-2,COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(C)cc(C)n1,>100,0,0
185,112226-61-6,CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1,>100,0,0
186,123312-89-0,CC1=NNC(=O)N(C1)N=Cc1cccnc1,>100,0,0
187,81335-77-5,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(c1)C(O)=O,>100,0,0
188,95737-68-1,CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1,>100,0,0
189,25954-13-6,CCOP(O)(=O)C(N)=O,>100,0,0
190,129909-90-6,CC(C)C1=NN(C(=O)NC(C)(C)C)C(=O)N1N,>100,0,0
191,178928-70-6,OC(CN1NC=NC1=S)(Cc1ccccc1Cl)C1(Cl)CC1,>100,0,0
192,181274-15-7,CCCOC1=NN(C(O)=NS(=O)(=O)c2ccccc2C(=O)OC)C(=O)N1C,>100,0,0
193,220899-03-6,COc1ccc(Br)c(C)c1C(=O)c1c(C)cc(OC)c(OC)c1OC,>100,0,0
194,239110-15-7,FC(F)(F)c1cnc(CNC(=O)c2c(Cl)cccc2Cl)c(Cl)c1,>100,0,0
195,335104-84-2,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,>100,0,0
196,422556-08-9,COc1cc(OC)[n+]2[nH]c(NS(=O)(=O)c3c(OC)nccc3C(F)(F)F)nc2n1,>100,0,0
197,83164-33-4,Fc1ccc(NC(=O)c2cccnc2Oc2cccc(c2)C(F)(F)F)c(F)c1,>100,0,0
198,139528-85-1,COc1cc(OC)n2nc(nc2n1)S(=O)(=O)Nc1c(Cl)ccc(C)c1Cl,>100,0,0
199,101463-69-8,Fc1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1NC(=O)NC(=O)c1c(F)cccc1F,>100,0,0
200,283159-90-0,COC(=O)CC(NC(=O)C(NC(=O)OC(C)C)C(C)C)c1ccc(Cl)cc1,>100,0,0
201,145701-23-1,COc1ncc(F)c2nc(nn12)S(=O)(=O)Nc1c(F)cccc1F,>100,0,0
202,116255-48-2,Clc1ccc(c(Cl)c1)C1(Cn2cncn2)CC(Br)CO1,>100,0,0
203,82558-50-7,CCC(C)(CC)c1cc(NC(=O)c2c(OC)cccc2OC)on1,>100,0,0
204,1918-00-9,COc1c(Cl)ccc(Cl)c1C(O)=O,>100,0,0
205,1982-49-6,CC1CCCCC1NC(=O)Nc1ccccc1,>100,0,0
206,55512-33-9,CCCCCCCCSC(=O)Oc1cc(Cl)nnc1-c1ccccc1,>100,0,0
207,105512-06-9,CC(Oc1ccc(Oc2ncc(Cl)cc2F)cc1)C(=O)OCC#C,>100,0,0
208,118134-30-8,CCCN(CC)CC1COC2(CCC(CC2)C(C)(C)C)O1,>100,0,0
209,51596-11-3,CCC1OC2(CCC1C)CC1CC(CC=C(C)CC(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,>100,0,0
210,64700-56-7,CCCCOCCOC(=O)COc1nc(Cl)c(Cl)cc1Cl,>100,0,0
211,213464-77-8,COc1cc(OC)nc(NC(=O)NS(=O)(=O)Nc2ccccc2C(=O)N(C)C)n1,>100,0,0
212,8001-35-2,ClCC1(CCl)C(=C)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl,>105,0,0
213,51218-45-2,CCc1cccc(C)c1N(C(C)COC)C(=O)CCl,>110,0,0
214,35367-38-5,Fc1cccc(F)c1C(=O)NC(=O)Nc1ccc(Cl)cc1,>115,0,0
215,101-05-3,Clc1ccccc1Nc1nc(Cl)nc(Cl)n1,>117,0,0
216,1194-65-6,Clc1cccc(Cl)c1C#N,>120,0,0
217,330-55-2,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,>121,0,0
218,99-30-9,Nc1c(Cl)cc(cc1Cl)[N+]([O-])=O,>181,0,0
219,5902-51-2,CC1=C(Cl)C(=O)N(C(=O)N1)C(C)(C)C,>193,0,0
220,731-27-1,CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccc(C)cc1,>196,0,0
221,53404-31-2,CCCCOCCOC(=O)C(C)Oc1ccc(Cl)cc1Cl,>1E3,0,0
222,361377-29-9,CON=C(C1=NOCCO1)c1ccccc1Oc1ncnc(Oc2ccccc2Cl)c1F,>200,0,0
223,283594-90-1,Cc1cc(C)c(C2=C(OC(=O)CC(C)(C)C)C3(CCCC3)OC2=O)c(C)c1,>200,0,0
224,42576-02-3,COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+]([O-])=O,>200,0,0
225,66332-96-5,CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,>200,0,0
226,55219-65-3,CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,>200,0,0
227,72459-58-6,[O-][n+]1nc(nc2ccc(Cl)cc12)-n1ccnc1,>200,0,0
228,64628-44-0,FC(F)(F)Oc1ccc(NC(=O)NC(=O)c2ccccc2Cl)cc1,>200,0,0
229,126833-17-8,CC1(CCCCC1)C(=O)Nc1ccc(O)c(Cl)c1Cl,>200,0,0
230,1698-60-8,NC1=C(Cl)C(=O)N(N=C1)c1ccccc1,>200,0,0
231,272451-65-7,Cc1cc(ccc1NC(=O)c1cccc(I)c1C(=O)NC(C)(C)CS(C)(=O)=O)C(F)(C(F)(F)F)C(F)(F)F,>200,0,0
232,69327-76-0,CC(C)N1C(SCN(C1=O)c1ccccc1)=NC(C)(C)C,>200,0,0
233,20354-26-1,CN1C(=O)ON(C1=O)c1ccc(Cl)c(Cl)c1,>200,0,0
234,141776-32-1,CCS(=O)(=O)c1[nH]c2cccc[n+]2c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,>200,0,0
235,104040-78-0,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2C(F)(F)F)n1,>200,0,0
236,134605-64-4,CN1C(=O)N(C(=O)C=C1C(F)(F)F)c1ccc(Cl)c(c1)C(=O)OC(C)(C)C(=O)OCC=C,>200,0,0
237,144550-36-7,COC(=O)c1ccc(I)cc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,>200,0,0
238,147150-35-4,CCOc1nc(F)cc2[nH]c(n[n+]12)S(=O)(=O)Nc1c(Cl)cccc1C(=O)OC,>200,0,0
239,175013-18-0,CON(C(=O)OC)c1ccccc1COc1ccn(n1)-c1ccc(Cl)cc1,>200,0,0
240,179101-81-6,FC(F)(F)c1ccc(OCCCOc2c(Cl)cc(OCC=C(Cl)Cl)cc2Cl)nc1,>200,0,0
241,374726-62-2,COc1cc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)ccc1OCC#C,>200,0,0
242,148477-71-8,CCC(C)(C)C(=O)OC1=C(C(=O)OC11CCCCC1)c1cc(Cl)cc(Cl)c1,>200,0,0
243,50563-36-5,COCCN(C(=O)CCl)c1c(C)cccc1C,>200,0,0
244,15165-67-0,CC(Oc1ccc(Cl)cc1Cl)C(O)=O,>200,0,0
245,79622-59-6,[O-][N+](=O)c1cc(c(Cl)c(c1Nc1ncc(cc1Cl)C(F)(F)F)[N+]([O-])=O)C(F)(F)F,>200,0,0
246,141517-21-7,CON=C(C(=O)OC)c1ccccc1CON=C(C)c1cccc(c1)C(F)(F)F,>200,0,0
247,188425-85-6,Clc1ccc(cc1)-c1ccccc1NC(=O)c1cccnc1Cl,>200,0,0
248,72490-01-8,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,>204,0,0
249,133-06-2,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,>215,0,0
250,84087-01-4,OC(=O)c1c(Cl)ccc2cc(Cl)cnc12,>215,0,0
251,112410-23-8,CCc1ccc(cc1)C(=O)NN(C(=O)c1cc(C)cc(C)c1)C(C)(C)C,>234,0,0
252,114369-43-6,Clc1ccc(CCC(Cn2cncn2)(C#N)c2ccccc2)cc1,>292,0,0
253,111988-49-9,Clc1ccc(CN2CCSC2=NC#N)cn1,>400,0,0
254,145701-23-1,COc1ncc(F)c2[nH]c(n[n+]12)S(=O)(=O)Nc1c(F)cccc1F,>500,0,0
